Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Country,City,Quantity
1,HN-2021-152156,11/8/2021,11/11/2021,Second Class,CG-12520,Dang Van Quy,Viet Nam,Ha Noi,1
2,LC-2020-152156,11/8/2020,11/11/2020,Second Class,CG-12520,Nguyen Van Bac,Viet Nam,Lai Chau,1
3,HN-2021-138688,6/12/2021,6/16/2021,Second Class,DV-13045,Nguyen Van Tuan,Viet Nam,Ha Noi,1
4,HN-2021-108966,10/11/2021,10/18/2021,Standard Class,SO-20335,Ho Van Cung Minh,Viet Nam,Ha Noi,1
5,HN-2021-102444,10/11/2021,10/18/2021,Standard Class,SO-20335,Vu Minh Duc,Viet Nam,Ha Noi,1
6,HCM-2021-115812,6/9/2021,6/14/2021,Standard Class,BH-11710,Nguyen Hoang Giang,Viet Nam,Ho Chi Minh,1
7,HCM-2021-115813,6/9/2021,6/14/2021,Standard Class,BH-11710,Pham Thong Phong,Viet Nam,Ho Chi Minh,1
8,LA-2021-115812,6/9/2021,6/14/2021,Standard Class,BH-11710,Dang Thanh Tung,Viet Nam,Long An,1
9,TN-2020-115812,6/9/2020,6/14/2020,Standard Class,BH-11710,Lo Ngoc Anh,Viet Nam,Thai Nguyen,1
10,NB-2021-115812,6/9/2021,6/14/2020,Standard Class,BH-11710,Nguyen Thi Oanh,Viet Nam,Ninh Binh,1
11,TB-2021-115812,6/9/2021,6/14/2021,Standard Class,BH-11710,Nguyen Xuon Thuong,Viet Nam,Thai Binh,1
12,TB-2021-115812,6/9/2021,6/14/2021,Standard Class,BH-11710,Pham Huy Hoang,Viet Nam,Thai Binh,1
13,HN-2021-114412,4/15/2021,4/20/2021,Standard Class,AA-10480,Vu Anh Tuan,Viet Nam,Ha Nam,1
14,NA-2021-161389,12/5/2021,12/10/2021,Standard Class,IM-15070,Pham Anh Minh,Viet Nam,Nghe An,1
15,BP-2021-118983,11/22/2021,11/26/2021,Standard Class,DN-13690,Ngu Nhat Long,Viet Nam,Hoa Binh,1
16,NA-2020-118983,11/11/2020,11/18/2020,Standard Class,DN-13690,Duong Kim Cuong,Viet Nam,Son La,1
17,BD-2021-105893,5/13/2021,5/15/2021,Standard Class,JC-16105,Vu Trung Kien,Viet Nam,Dien Bien,1
18,HP-2021-167164,8/27/2021,9/1/2021,Standard Class,CS-12400,Cao Ngoc Minh,Viet Nam,Thanh Hoa,1
19,MC-2021-143336,8/27/2021,9/1/2021,Second Class,PO-18865,Tran Huu Phi,Viet Nam,Nghe An,1
20,HP-2021-167165,8/27/2021,9/1/2021,Second Class,PG-18895,Pham Thi Hong,Viet Nam,Lao Cai,1
21,MC-2021-143337,12/9/2021,12/13/2021,Second Class,PG-18895,Nguyen Van Tung Lam,Viet Nam,Yen Bai,1
22,CA-2021-137330,12/9/2021,12/13/2021,Second Class,GM-14455,Nguyen Thi Anh,Viet Nam,Quang Binh,1
23,CA-2021-137330,7/16/2021,7/18/2021,Standard Class,JS-15685,Duong Ngoc Dat,Viet Nam,Quang Tri,1
24,US-2021-156909,9/25/2021,9/30/2021,Standard Class,JS-15685,Nguyen Manh Hieu,Viet Nam,Thua Thien Hue,1
25,CA-2020-106320,1/16/2020,1/20/2020,Second Class,JS-15685,Ho Trung Kien,Viet Nam,Ba Ria Vung Tau,1
26,CA-2020-121755,1/16/2020,1/20/2020,Standard Class,KB-16315,Hoang Quy Phuong,Viet Nam,Binh Duong,1
27,CA-2021-121755,9/17/2021,9/21/2021,Second Class,KB-16315,Nguyen Khac Son,Viet Nam,Dong Nai,1
28,US-2021-150630,9/17/2021,9/21/2021,Second Class,KB-16315,Nguyen Thi Huong,Viet Nam,Tay Ninh,1
29,US-2021-150630,9/17/2021,9/21/2021,Standard Class,RB-19705,Pham Hoai Anh,Viet Nam,Ho Chi Minh,1
30,US-2020-150630,9/17/2020,9/21/2020,Standard Class,PN-18775,Pham Mai Anh,Viet Nam,Ba Ria Vung Tàu,1
31,US-2021-150630,9/17/2021,9/21/2021,Standard Class,KD-16345,Tran Duy Anh,Viet Nam,Binh Duong,1
32,US-2021-150630,9/17/2021,9/21/2020,Standard Class,ER-13855,Tran Van Anh,Viet Nam,An Giang,1
33,US-2021-150630,9/17/2021,9/21/2021,Standard Class,RB-19465,Vu Tuan Anh,Viet Nam,Bac Lieu,1
34,US-2020-150630,10/19/2020,10/23/2020,Standard Class,RB-19465,Nguyen Ngoc Cuong,Viet Nam,Ben Tre,1
35,CA-2021-107727,12/8/2021,12/10/2021,Standard Class,RB-19465,Pham Van Dieu,Viet Nam,Can Tho,1
36,CA-2021-117590,12/8/2021,12/10/2021,Second Class,GZ-14470,Nguyen Hoàng Dung,Viet Nam,Dong Thap,1
37,CA-2021-117590,12/27/2021,12/31/2021,First Class,LC-16870,Nguyen Cung Duong,Viet Nam,Binh Dinh,1
38,CA-2021-117415,12/27/2021,12/31/2021,First Class,LC-16870,Pham Quang Dao,Viet Nam,Phu Yen,1
39,CA-2020-117415,12/27/2020,12/31/2020,Standard Class,LC-16870,Trieu Trong Dat,Viet Nam,Khanh Hoa,1
40,CA-2021-117415,12/27/2021,12/31/2021,Standard Class,JM-15250,Lo Thi Thu Ha,Viet Nam,Ha Giang,1
41,CA-2020-117415,9/10/2020,9/15/2020,Standard Class,JM-15250,Tran Thi Ha,Viet Nam,Tuyen Quang,1
42,CA-2020-120999,7/17/2020,7/22/2020,Standard Class,JM-15250,Bui Van Hai,Viet Nam,Bac Kan,1
43,CA-2021-101343,9/19/2021,9/23/2021,Standard Class,PA-19060,Do Van Hai,Viet Nam,Thai Nguyen,1
44,CA-2020-139619,3/11/2020,3/13/2020,Standard Class,CV-12805,Nguyen Van Hai,Viet Nam,Lang Son,1
45,CA-2021-118255,3/11/2021,3/13/2021,Standard Class,CL-12565,Nguyen Van Hai,Viet Nam,Bac Giang,1
46,CA-2021-118255,10/20/2021,10/25/2021,First Class,CL-12565,Duong Thi Hao,Viet Nam,Ha Noi,1
47,CA-2021-146703,6/20/2021,6/25/2021,First Class,RC-19960,Nguyen Thi Hien,Viet Nam,Bac Ninh,1
48,CA-2020-169194,6/20/2020,6/25/2020,Second Class,RC-19960,Vu The Hieu,Viet Nam,Ha Nam,1
49,CA-2020-169194,4/18/2020,4/22/2020,Standard Class,RC-19960,Tran Duc Hua,Viet Nam,Hai Duong,1
50,CA-2020-115742,4/18/2020,4/22/2020,Standard Class,RC-19960,Nguyen Huy Hoang,Viet Nam,Hai Phong,1
51,CA-2020-115742,4/18/2020,4/22/2020,Standard Class,DK-13090,Tran Huy Hoang,Viet Nam,Hung Yen,1
52,CA-2021-115742,4/18/2021,4/22/2021,Standard Class,GG-14650,Dào Thi Hue,Viet Nam,Nam Dinh,1
53,CA-2020-115742,12/11/2020,12/17/2020,Standard Class,SC-20725,Nguyen Huu Hung,Viet Nam,Thoi Binh,1
54,CA-2020-105816,12/11/2020,12/17/2020,Standard Class,SC-20725,Nguyen Trong Huy,Viet Nam,Ha Noi,1
55,CA-2021-105816,6/17/2021,6/18/2021,Standard Class,SC-20725,Do Ngoc Huyon,Viet Nam,Ha Noi,1
56,CA-2020-111682,6/17/2020,6/18/2020,Standard Class,SC-20725,Lo Thi Thu Huyen,Viet Nam,Ha Noi,1
57,CA-2021-111682,6/17/2021,6/18/2021,First Class,SC-20725,Nguyen Thi Huyen,Viet Nam,Hau Giang,1
58,CA-2021-111682,6/17/2021,6/18/2021,First Class,AD-10180,Phan Thi Thu Huyen,Viet Nam,Kien Giang,1
59,CA-2020-111682,6/17/2020,6/18/2020,First Class,PF-19165,Hoàng Xuon Khonh,Viet Nam,Long An,1
60,CA-2020-111682,6/17/2020,6/18/2020,First Class,TS-21610,Do Trong Khui,Viet Nam,Soc Trang,1
61,CA-2020-111682,6/17/2020,6/18/2020,First Class,TS-21610,Duong Manh Ky,Viet Nam,Tien Giang,1
62,CA-2021-111682,11/24/2021,11/30/2021,First Class,LS-16975,Nguyen Viet Linh,Viet Nam,Tra Vinh,1
63,CA-2020-135545,11/24/2020,11/30/2020,First Class,LS-16975,Vu Thi My Linh,Viet Nam,Da Nang,1
64,CA-2020-135545,11/24/2020,11/30/2020,Standard Class,DW-13585,Bui Thi Loan,Viet Nam,Quang Nam,1
65,CA-2020-135545,11/24/2020,11/30/2020,Standard Class,DW-13585,Trinh Thi Loan,Viet Nam,Quang Ngai,1
66,CA-2020-135545,4/30/2020,5/5/2020,Standard Class,DW-13585,Vu Hong Loan,Viet Nam,Binh Dinh,1
67,US-2021-164175,12/5/2021,12/10/2021,Standard Class,LC-16885,Do Hoàng Long,Viet Nam,Phu Yen,1
68,CA-2021-106376,12/5/2021,12/10/2021,Standard Class,LC-16885,Nguyen Danh Long,Viet Nam,Ha Giang,1
69,CA-2020-106376,6/4/2020,6/6/2020,Standard Class,LC-16885,Nguyen Thanh Luon,Viet Nam,Tuyen Quang,1
70,CA-2021-119823,9/18/2021,9/23/2021,Standard Class,LC-16885,Cao Dang Luan,Viet Nam,Cao Bang,1
71,CA-2020-106075,9/14/2020,9/17/2020,First Class,LC-16885,Pham Quang Luc,Viet Nam,Bac Kan,1
72,CA-2020-114440,4/26/2020,5/2/2020,Standard Class,LC-16885,Phung Hai Ly,Viet Nam,Thoi Nguyen,1
73,US-2020-134026,4/26/2020,5/2/2020,Second Class,LC-16885,Nguyen Tien Manh,Viet Nam,Lang Son,1
74,US-2021-134026,4/26/2021,5/2/2021,Standard Class,JD-15895,Nguyen Thi Minh,Viet Nam,Dong Thap,1
75,US-2020-134026,12/9/2020,12/11/2020,Standard Class,SH-19975,Vu Bo Minh,Viet Nam,Hau Giang,1
76,US-2021-118038,12/9/2021,12/11/2021,Standard Class,SH-19975,Bui Hoai Nam,Viet Nam,Kien Giang,1
77,US-2020-118038,12/9/2020,12/11/2020,First Class,SH-19975,Dinh Huu Nam,Viet Nam,Long An,1
78,US-2020-118038,11/26/2020,12/1/2020,First Class,SG-20080,Tran Thi Ngoc,Viet Nam,Ho Chi Minh,1
79,US-2021-147606,6/12/2021,6/15/2021,First Class,HA-14920,Pham Thi Nguyet,Viet Nam,Ba Ria Vung Tau,1
80,CA-2020-127208,6/12/2020,6/15/2020,Second Class,MG-17680,Tran Hong Nhung,Viet Nam,Binh Duong,1
